id_old,jad_id,books_old,chapters_old,verses_old,books_new,chapters_new,verses_new,full_match_book,full_match_chapter,full_match_verse,partial_match_book,partial_match_chapter,partial_match_verse,all_found_books,all_found_chapters,all_found_verses
28,jad_occurrence__28,"[49, 53, 53, 53]","[5, 7, 12, 24]","['Actus Apostolorum 12:2', 'Actus Apostolorum 5:41', 'Actus Apostolorum 7:59', 'Matthaeus 24:2']","[49, 53, 53]","[5, 7, 23]","['Actus Apostolorum 5:41', 'Actus Apostolorum 7:54', 'Matthaeus 23:37']",False,False,False,True,True,True,True,False,False
29,jad_occurrence__29,"[12, 49]","[2, 27]","['2 Regum 2:23', 'Matthaeus 27:39']","[12, 49]","[2, 27]","['2 Regum 2:23', 'Matthaeus 27:39']",True,True,True,True,True,True,True,True,True
34,jad_occurrence__34,[23],[78],['Psalmi 78:49'],[23],[78],['Psalmi 78:49'],True,True,True,True,True,True,True,True,True
35,jad_occurrence__35,"[49, 50, 51]","[13, 21, 24]","['Lucas 21:20', 'Marcus 13:14', 'Matthaeus 24:15']","[34, 49, 50, 51, 62]","[2, 9, 13, 21, 24]","['2 Thessalonicenses 2:4', 'Daniel 9:27', 'Lucas 21:20', 'Marcus 13:14', 'Matthaeus 24:15']",False,False,False,True,True,True,True,True,True
36,jad_occurrence__36,"[49, 49, 75]","[0, 24, 24]","['Apocalypsis 0:0', 'Matthaeus 24:15', 'Matthaeus 24:16']","[49, 49, 75]","[0, 24, 24]","['Apocalypsis 0:0', 'Matthaeus 24:15', 'Matthaeus 24:16']",True,True,True,True,True,True,True,True,True
37,jad_occurrence__37,"[23, 23]","[80, 80]","['Psalmi 80:12', 'Psalmi 80:13']","[23, 23]","[80, 80]","['Psalmi 80:13', 'Psalmi 80:14']",True,True,False,True,True,True,True,True,False
38,jad_occurrence__38,[52],[19],['Ioannes 19:15'],[52],[19],['Ioannes 19:15'],True,True,True,True,True,True,True,True,True
39,jad_occurrence__39,"[12, 57]","[2, 6]","['2 Regum 2:23', 'Galatas 6:14']","[12, 57]","[2, 6]","['2 Regum 2:23', 'Galatas 6:14']",True,True,True,True,True,True,True,True,True
41,jad_occurrence__41,"[12, 49]","[2, 27]","['2 Regum 2:23', 'Matthaeus 27:39']","[12, 49]","[2, 27]","['2 Regum 2:23', 'Matthaeus 27:39']",True,True,True,True,True,True,True,True,True
42,jad_occurrence__42,"[1, 23, 52]","[11, 14, 37]","['Genesis 37:0', 'Ioannes 11:0', 'Psalmi 14:5']","[1, 23, 52]","[11, 13, 37]","['Genesis 37:0', 'Ioannes 11:0', 'Psalmi 13:0']",True,False,False,True,True,True,True,False,False
44,jad_occurrence__44,"[11, 16, 34, 47, 49, 51]","[1, 1, 6, 21, 24, 36]","['1 Machabaeorum 1:20', '1 Regum 6:0', '2 Paralipomenon 36:18', 'Daniel 1:1', 'Lucas 21:6', 'Matthaeus 24:1']",[49],[24],['Matthaeus 24:1'],False,False,False,True,True,True,False,False,False
45,jad_occurrence__45,"[30, 51, 51]","[8, 19, 19]","['Ieremias 8:7', 'Lucas 19:41', 'Lucas 19:43']","[30, 51, 51, 51]","[8, 19, 19, 19]","['Ieremias 8:7', 'Lucas 19:41', 'Lucas 19:43', 'Lucas 19:44']",False,False,False,True,True,True,True,True,True
47,jad_occurrence__47,"[23, 23, 23, 51]","[13, 63, 79, 80]","['Lucas 13:32', 'Psalmi 63:10', 'Psalmi 79:1', 'Psalmi 80:13']","[23, 23, 23, 51]","[13, 63, 79, 80]","['Lucas 13:32', 'Psalmi 63:11', 'Psalmi 79:1', 'Psalmi 80:14']",True,True,False,True,True,True,True,True,False
49,jad_occurrence__49,"[10, 49, 52, 67]","[5, 13, 19, 27]","['2 Samuel 5:7', 'Hebraeos 13:12', 'Ioannes 19:41', 'Matthaeus 27:33']","[10, 51, 52, 67]","[5, 13, 19, 23]","['2 Samuel 5:7', 'Hebraeos 13:12', 'Ioannes 19:41', 'Lucas 23:33']",False,False,False,True,True,True,False,False,False
50,jad_occurrence__50,[29],[19],['Isaias 19:19'],[29],[19],['Isaias 19:19'],True,True,True,True,True,True,True,True,True
51,jad_occurrence__51,[51],[19],['Lucas 19:41'],"[49, 51]","[19, 24]","['Lucas 19:41', 'Matthaeus 24:2']",False,False,False,True,True,True,True,True,True
55,jad_occurrence__55,[34],[9],['Daniel 9:27'],[34],[9],['Daniel 9:27'],True,True,True,True,True,True,True,True,True
56,jad_occurrence__56,"[49, 50, 51]","[21, 23, 24]","['Lucas 21:0', 'Marcus 23:0', 'Matthaeus 24:0']","[49, 49, 50, 51]","[13, 21, 24, 24]","['Lucas 21:0', 'Marcus 13:0', 'Matthaeus 24:0', 'Matthaeus 24:20']",False,False,False,True,True,True,True,False,False
57,jad_occurrence__57,"[33, 49]","[16, 24]","['Ezechiel 16:0', 'Matthaeus 24:0']","[33, 49]","[16, 24]","['Ezechiel 16:0', 'Matthaeus 24:0']",True,True,True,True,True,True,True,True,True
58,jad_occurrence__58,"[49, 49]","[22, 22]","['Matthaeus 22:7', 'Matthaeus 22:8']","[49, 49, 49]","[22, 22, 22]","['Matthaeus 22:10', 'Matthaeus 22:7', 'Matthaeus 22:9']",False,False,False,True,True,True,True,True,False
59,jad_occurrence__59,[51],[13],['Lucas 13:6'],[51],[13],['Lucas 13:0'],True,True,False,True,True,False,True,True,False
60,jad_occurrence__60,"[23, 51]","[19, 79]","['Lucas 19:0', 'Psalmi 79:0']","[23, 51]","[19, 79]","['Lucas 19:41', 'Psalmi 79:13']",True,True,False,True,True,False,True,True,False
61,jad_occurrence__61,"[23, 49, 51, 52]","[11, 13, 21, 78]","['Ioannes 11:48', 'Lucas 13:35', 'Matthaeus 21:13', 'Psalmi 78:3']","[23, 49, 49, 49, 51, 52]","[11, 13, 20, 21, 26, 79]","['Ioannes 11:48', 'Lucas 13:35', 'Matthaeus 20:1', 'Matthaeus 21:13', 'Matthaeus 26:15', 'Psalmi 79:10']",False,False,False,True,True,True,True,False,False
63,jad_occurrence__63,[],[],[],"[0, 10, 34, 49, 49, 51, 62]","[0, 2, 4, 12, 21, 24, 24]","['2 Samuel 4:4', '2 Thessalonicenses 2:4', 'Daniel 12:1', 'Josephus - The Jewish War 0:0', 'Lucas 21:20', 'Matthaeus 24:16', 'Matthaeus 24:19']",False,False,False,False,False,False,True,True,True
65,jad_occurrence__65,"[49, 54]","[11, 22]","['Matthaeus 22:7', 'Romanos 11:11']","[49, 49, 49]","[22, 22, 22]","['Matthaeus 22:3', 'Matthaeus 22:7', 'Matthaeus 22:9']",False,False,False,True,True,True,False,False,False
66,jad_occurrence__66,[51],[13],['Lucas 13:0'],[51],[13],['Lucas 13:0'],True,True,True,True,True,True,True,True,True
68,jad_occurrence__68,[23],[79],['Psalmi 79:13'],[23],[79],['Psalmi 79:0'],True,True,False,True,True,False,True,True,False
69,jad_occurrence__69,[7],[16],['Iudices 16:0'],"[7, 29]","[16, 63]","['Isaias 63:3', 'Iudices 16:0']",False,False,False,True,True,True,True,True,True
70,jad_occurrence__70,[23],[145],['Psalmi 145:17'],[23],[145],['Psalmi 145:0'],True,True,False,True,True,False,True,True,False
71,jad_occurrence__71,"[2, 2, 2, 34, 49]","[9, 14, 16, 17, 27]","['Daniel 9:26', 'Exodus 14:0', 'Exodus 16:4', 'Exodus 17:6', 'Matthaeus 27:25']","[2, 2, 2, 34, 52]","[9, 12, 16, 17, 19]","['Daniel 9:26', 'Exodus 12:51', 'Exodus 16:4', 'Exodus 17:6', 'Ioannes 19:16']",False,False,False,True,True,True,False,False,False
72,jad_occurrence__72,"[2, 29, 30, 52, 59]","[2, 12, 15, 19, 53]","['Exodus 12:0', 'Ieremias 15:0', 'Ioannes 19:0', 'Isaias 53:0', 'Philippenses 2:0']","[2, 29, 30, 52, 59]","[2, 12, 15, 19, 53]","['Exodus 12:0', 'Ieremias 15:0', 'Ioannes 19:0', 'Isaias 53:0', 'Philippenses 2:0']",True,True,True,True,True,True,True,True,True
73,jad_occurrence__73,"[29, 29, 29, 29, 30, 49, 51, 51, 52]","[3, 5, 12, 14, 19, 23, 23, 27, 57]","['Ieremias 12:0', 'Ioannes 19:15', 'Isaias 14:0', 'Isaias 3:0', 'Isaias 57:0', 'Isaias 5:0', 'Lucas 23:18', 'Lucas 23:21', 'Matthaeus 27:25']","[29, 29, 29, 29, 30, 49, 51, 51, 52]","[3, 5, 12, 14, 19, 23, 23, 27, 57]","['Ieremias 12:7', 'Ioannes 19:15', 'Isaias 14:21', 'Isaias 3:8', 'Isaias 57:4', 'Isaias 5:7', 'Lucas 23:18', 'Lucas 23:21', 'Matthaeus 27:25']",True,True,False,True,True,True,True,True,False
74,jad_occurrence__74,"[5, 23, 53]","[17, 28, 141]","['Actus Apostolorum 17:28', 'Deuteronomium 28:66', 'Psalmi 141:2']",[23],[141],['Psalmi 141:2'],False,False,False,True,True,True,False,False,False
75,jad_occurrence__75,"[2, 9, 37]","[4, 8, 23]","['1 Samuel 23:1', 'Amos 8:10', 'Exodus 4:22']","[2, 9, 37]","[4, 8, 23]","['1 Samuel 23:0', 'Amos 8:10', 'Exodus 4:22']",True,True,False,True,True,True,True,True,False
76,jad_occurrence__76,"[33, 49]","[4, 18]","['Ezechiel 18:32', 'Matthaeus 4:17']","[33, 49]","[4, 18]","['Ezechiel 18:32', 'Matthaeus 4:17']",True,True,True,True,True,True,True,True,True
77,jad_occurrence__77,[49],[27],['Matthaeus 27:62'],[49],[27],['Matthaeus 27:66'],True,True,False,True,True,False,True,True,False
79,jad_occurrence__79,[67],[13],['Hebraeos 13:12'],[67],[13],['Hebraeos 13:12'],True,True,True,True,True,True,True,True,True
80,jad_occurrence__80,"[12, 49]","[2, 27]","['2 Regum 2:23', 'Matthaeus 27:22']","[12, 49, 49]","[2, 27, 27]","['2 Regum 2:23', 'Matthaeus 27:22', 'Matthaeus 27:33']",False,False,False,True,True,True,True,True,True
81,jad_occurrence__81,"[1, 10, 12]","[2, 9, 15]","['2 Regum 2:23', '2 Samuel 15:1', 'Genesis 9:20']","[1, 10, 12, 49]","[2, 9, 15, 27]","['2 Regum 2:23', '2 Samuel 15:0', 'Genesis 9:20', 'Matthaeus 27:33']",False,False,False,True,True,True,True,True,False
82,jad_occurrence__82,"[12, 52]","[2, 19]","['2 Regum 2:23', 'Ioannes 19:15']","[12, 52]","[2, 19]","['2 Regum 2:23', 'Ioannes 19:15']",True,True,True,True,True,True,True,True,True
83,jad_occurrence__83,[49],[24],['Matthaeus 24:2'],[49],[24],['Matthaeus 24:2'],True,True,True,True,True,True,True,True,True
85,jad_occurrence__85,[34],[9],['Daniel 9:24'],[34],[9],['Daniel 9:24'],True,True,True,True,True,True,True,True,True
86,jad_occurrence__86,"[23, 23, 34, 49, 52]","[9, 10, 17, 19, 117]","['Daniel 9:0', 'Ioannes 19:15', 'Matthaeus 10:0', 'Psalmi 117:0', 'Psalmi 17:0']","[23, 23, 34, 49, 52]","[9, 10, 18, 19, 118]","['Daniel 9:26', 'Ioannes 19:15', 'Matthaeus 10:33', 'Psalmi 118:22', 'Psalmi 18:45']",True,False,False,True,True,True,True,False,False
87,jad_occurrence__87,[29],[11],['Isaias 11:11'],"[2, 29]","[11, 14]","['Exodus 14:30', 'Isaias 11:11']",False,False,False,True,True,True,True,True,True
88,jad_occurrence__88,"[29, 29, 29, 29]","[14, 14, 14, 60]","['Isaias 14:1', 'Isaias 14:3', 'Isaias 14:4', 'Isaias 60:10']","[29, 29, 29, 29]","[14, 14, 14, 14]","['Isaias 14:1', 'Isaias 14:3', 'Isaias 14:4', 'Isaias 14:5']",True,False,False,True,True,True,True,False,False
89,jad_occurrence__89,"[29, 51]","[1, 10]","['Isaias 1:8', 'Lucas 10:30']","[23, 51]","[10, 126]","['Lucas 10:30', 'Psalmi 126:1']",False,False,False,True,True,True,False,False,False
104,jad_occurrence__104,[49],[12],['Matthaeus 12:36'],[49],[12],['Matthaeus 12:36'],True,True,True,True,True,True,True,True,True
105,jad_occurrence__105,[57],[5],['Galatas 5:15'],[57],[5],['Galatas 5:15'],True,True,True,True,True,True,True,True,True
107,jad_occurrence__107,[34],[9],['Daniel 9:24'],[34],[9],['Daniel 9:24'],True,True,True,True,True,True,True,True,True
108,jad_occurrence__108,[29],[53],['Isaias 53:5'],[29],[53],['Isaias 53:5'],True,True,True,True,True,True,True,True,True
109,jad_occurrence__109,"[47, 47, 47]","[2, 3, 4]","['1 Machabaeorum 2:0', '1 Machabaeorum 3:0', '1 Machabaeorum 4:0']","[33, 47]","[2, 15]","['1 Machabaeorum 2:3', 'Ezechiel 15:6']",False,False,False,True,True,False,True,False,False
110,jad_occurrence__110,[2],[12],['Exodus 12:40'],[2],[12],['Exodus 12:0'],True,True,False,True,True,False,True,True,False
111,jad_occurrence__111,"[49, 61]","[2, 23]","['1 Thessalonicenses 2:16', 'Matthaeus 23:38']","[49, 61]","[2, 23]","['1 Thessalonicenses 2:16', 'Matthaeus 23:38']",True,True,True,True,True,True,True,True,True
112,jad_occurrence__112,"[30, 33, 49]","[21, 25, 39]","['Ezechiel 39:23', 'Ieremias 25:9', 'Matthaeus 21:13']","[33, 49]","[7, 21]","['Ezechiel 7:22', 'Matthaeus 21:13']",False,False,False,True,True,True,False,False,False
113,jad_occurrence__113,[30],[1],['Ieremias 1:11'],[30],[1],['Ieremias 1:13'],True,True,False,True,True,False,True,True,False
115,jad_occurrence__115,[30],[36],['Ieremias 36:30'],[30],[36],['Ieremias 36:30'],True,True,True,True,True,True,True,True,True
116,jad_occurrence__116,[],[],[],[],[],[],True,True,True,False,False,False,True,True,True
117,jad_occurrence__117,"[34, 34]","[9, 9]","['Daniel 9:26', 'Daniel 9:27']","[34, 34]","[9, 9]","['Daniel 9:26', 'Daniel 9:27']",True,True,True,True,True,True,True,True,True
118,jad_occurrence__118,[12],[6],['2 Regum 6:0'],[12],[6],['2 Regum 6:0'],True,True,True,True,True,True,True,True,True
120,jad_occurrence__120,"[30, 30, 34, 49, 51, 67]","[9, 10, 15, 21, 27, 31]","['Daniel 9:2', 'Hebraeos 10:30', 'Ieremias 15:17', 'Ieremias 31:2', 'Lucas 21:20', 'Matthaeus 27:50']","[30, 30]","[15, 20]","['Ieremias 15:15', 'Ieremias 20:18']",False,False,False,True,True,False,False,False,False
121,jad_occurrence__121,"[7, 11]","[2, 8]","['1 Regum 2:23', 'Iudices 8:6']","[7, 12]","[2, 8]","['2 Regum 2:23', 'Iudices 8:14']",False,True,False,True,True,False,False,True,False
123,jad_occurrence__123,"[51, 52]","[18, 22]","['Ioannes 18:11', 'Lucas 22:51']","[51, 52]","[18, 22]","['Ioannes 18:11', 'Lucas 22:51']",True,True,True,True,True,True,True,True,True
124,jad_occurrence__124,"[49, 67]","[13, 24]","['Hebraeos 13:12', 'Matthaeus 24:1']","[49, 67]","[13, 24]","['Hebraeos 13:12', 'Matthaeus 24:1']",True,True,True,True,True,True,True,True,True
125,jad_occurrence__125,[23],[13],['Psalmi 13:3'],[23],[14],['Psalmi 14:3'],True,False,False,True,False,False,True,False,False
126,jad_occurrence__126,[23],[80],['Psalmi 80:13'],[23],[80],['Psalmi 80:14'],True,True,False,True,True,False,True,True,False
127,jad_occurrence__127,"[9, 12]","[2, 17]","['1 Samuel 17:0', '2 Regum 2:0']","[9, 12]","[2, 17]","['1 Samuel 17:34', '2 Regum 2:23']",True,True,False,True,True,False,True,True,False
128,jad_occurrence__128,[49],[24],['Matthaeus 24:0'],[49],[24],['Matthaeus 24:20'],True,True,False,True,True,False,True,True,False
130,jad_occurrence__130,[12],[2],['2 Regum 2:23'],[12],[2],['2 Regum 2:23'],True,True,True,True,True,True,True,True,True
131,jad_occurrence__131,[75],[6],['Apocalypsis 6:4'],[75],[6],['Apocalypsis 6:4'],True,True,True,True,True,True,True,True,True
137,jad_occurrence__137,"[49, 49]","[24, 24]","['Matthaeus 24:7', 'Matthaeus 24:9']","[49, 49]","[24, 24]","['Matthaeus 24:7', 'Matthaeus 24:9']",True,True,True,True,True,True,True,True,True
138,jad_occurrence__138,"[2, 33, 33]","[4, 4, 12]","['Exodus 12:40', 'Ezechiel 4:4', 'Ezechiel 4:6']","[2, 2, 3, 3, 49, 56]","[11, 12, 12, 26, 26, 27]","['2 Corinthios 11:14', 'Exodus 12:40', 'Exodus 12:41', 'Leviticus 26:31', 'Leviticus 26:38', 'Matthaeus 27:25']",False,False,False,True,True,True,False,False,False
139,jad_occurrence__139,"[12, 52]","[1, 2]","['2 Regum 2:23', 'Ioannes 1:12']","[12, 52]","[1, 2]","['2 Regum 2:23', 'Ioannes 1:12']",True,True,True,True,True,True,True,True,True
140,jad_occurrence__140,[12],[2],['2 Regum 2:23'],[12],[2],['2 Regum 2:23'],True,True,True,True,True,True,True,True,True
141,jad_occurrence__141,"[16, 30]","[22, 35]","['2 Paralipomenon 35:24', 'Ieremias 22:10']",[16],[35],['2 Paralipomenon 35:24'],False,False,False,True,True,True,False,False,False
142,jad_occurrence__142,"[29, 49]","[0, 24]","['Isaias 0:0', 'Matthaeus 24:2']","[29, 49]","[1, 24]","['Isaias 1:8', 'Matthaeus 24:2']",True,False,False,True,True,True,True,False,False
144,jad_occurrence__144,"[29, 34]","[3, 3]","['Daniel 3:38', 'Isaias 3:1']","[29, 34]","[0, 0]","['Daniel 0:0', 'Isaias 0:0']",True,False,False,True,False,False,True,False,False
145,jad_occurrence__145,"[23, 29, 30, 31]","[1, 3, 50, 80]","['Ieremias 50:17', 'Isaias 1:8', 'Lamentationes 3:10', 'Psalmi 80:13']","[29, 29, 29, 30]","[5, 5, 7, 10]","['Ieremias 5:6', 'Isaias 10:5', 'Isaias 5:29', 'Isaias 7:18']",False,False,False,True,False,False,False,False,False
147,jad_occurrence__147,"[31, 54]","[4, 10]","['Lamentationes 4:10', 'Romanos 10:2']","[1, 22, 22, 23, 30, 31, 49, 54, 58]","[1, 1, 2, 3, 4, 5, 10, 15, 147]","['Ephesios 2:20', 'Genesis 15:16', 'Ieremias 1:13', 'Iob 1:13', 'Iob 5:3', 'Lamentationes 4:10', 'Matthaeus 3:10', 'Psalmi 147:13', 'Romanos 10:2']",False,False,False,True,True,True,True,True,True
149,jad_occurrence__149,[51],[19],['Lucas 19:41'],[],[],[],False,False,False,False,False,False,False,False,False
150,jad_occurrence__150,[23],[0],['Psalmi 0:0'],[23],[78],['Psalmi 78:49'],True,False,False,True,False,False,True,False,False
151,jad_occurrence__151,"[30, 49]","[12, 23]","['Ieremias 12:7', 'Matthaeus 23:38']","[30, 49, 49, 49]","[12, 23, 23, 27]","['Ieremias 12:7', 'Matthaeus 23:37', 'Matthaeus 23:38', 'Matthaeus 27:50']",False,False,False,True,True,True,True,True,True
152,jad_occurrence__152,"[49, 49]","[23, 27]","['Matthaeus 23:27', 'Matthaeus 27:50']","[49, 49]","[23, 27]","['Matthaeus 23:27', 'Matthaeus 27:50']",True,True,True,True,True,True,True,True,True
154,jad_occurrence__154,[34],[9],['Daniel 9:26'],[34],[9],['Daniel 9:26'],True,True,True,True,True,True,True,True,True
155,jad_occurrence__155,[34],[9],['Daniel 9:24'],[],[],[],False,False,False,False,False,False,False,False,False
156,jad_occurrence__156,"[34, 34]","[9, 9]","['Daniel 9:22', 'Daniel 9:24']","[34, 34, 34]","[0, 0, 0]","['Daniel 0:0', 'Daniel 0:0', 'Daniel 0:0']",False,False,False,True,False,False,True,False,False
157,jad_occurrence__157,"[23, 23, 23, 49, 51, 71]","[2, 23, 26, 34, 78, 83]","['1 Ioannis 2:15', 'Lucas 23:21', 'Matthaeus 26:49', 'Psalmi 34:7', 'Psalmi 78:49', 'Psalmi 83:15']","[23, 23, 23, 49, 52, 71]","[2, 19, 26, 34, 78, 83]","['1 Ioannis 2:15', 'Ioannes 19:6', 'Matthaeus 26:49', 'Psalmi 34:7', 'Psalmi 78:49', 'Psalmi 83:16']",False,False,False,True,True,True,False,False,False
158,jad_occurrence__158,"[49, 51, 53, 53, 54, 55, 57]","[1, 1, 9, 19, 24, 25, 28]","['1 Corinthios 1:1', 'Actus Apostolorum 25:1', 'Actus Apostolorum 28:30', 'Galatas 1:19', 'Lucas 19:44', 'Matthaeus 24:2', 'Romanos 9:27']",[],[],[],False,False,False,False,False,False,False,False,False
160,jad_occurrence__160,"[24, 49, 49, 56, 59, 67]","[2, 7, 13, 22, 22, 23]","['2 Corinthios 13:4', 'Hebraeos 7:24', 'Matthaeus 22:42', 'Matthaeus 22:46', 'Philippenses 2:8', 'Proverbia 23:1']","[24, 49, 56, 59, 67]","[2, 7, 13, 22, 23]","['2 Corinthios 13:4', 'Hebraeos 7:24', 'Matthaeus 22:42', 'Philippenses 2:8', 'Proverbia 23:1']",False,False,False,True,True,True,True,True,False
161,jad_occurrence__161,"[2, 49]","[23, 27]","['Exodus 23:7', 'Matthaeus 27:25']","[49, 49]","[27, 27]","['Matthaeus 27:24', 'Matthaeus 27:25']",False,False,False,True,True,True,False,False,False
164,jad_occurrence__164,"[1, 9]","[4, 15]","['1 Samuel 15:22', 'Genesis 4:3']","[1, 9]","[4, 15]","['1 Samuel 15:22', 'Genesis 4:4']",True,True,False,True,True,True,True,True,False
165,jad_occurrence__165,"[30, 49, 49, 51, 51]","[19, 21, 21, 24, 52]","['Ieremias 52:12', 'Lucas 19:41', 'Lucas 21:20', 'Matthaeus 21:12', 'Matthaeus 24:2']","[34, 49, 51]","[4, 19, 21]","['Daniel 4:30', 'Lucas 19:41', 'Matthaeus 21:12']",False,False,False,True,True,True,False,False,False
167,jad_occurrence__167,[67],[13],['Hebraeos 13:12'],[67],[13],['Hebraeos 13:12'],True,True,True,True,True,True,True,True,True
168,jad_occurrence__168,[0],[11],['Zachariah 11:1 11:1'],"[23, 45]","[11, 29]","['Psalmi 29:5', 'Zacharias 11:1']",False,False,False,False,True,False,False,True,False
169,jad_occurrence__169,"[23, 23]","[35, 35]","['Psalmi 35:2', 'Psalmi 35:3']",[23],[35],['Psalmi 35:2'],False,False,False,True,True,True,True,True,False
170,jad_occurrence__170,"[49, 49, 49]","[24, 24, 24]","['Matthaeus 24:1', 'Matthaeus 24:3', 'Matthaeus 24:4']","[49, 49, 49]","[24, 24, 24]","['Matthaeus 24:1', 'Matthaeus 24:3', 'Matthaeus 24:4']",True,True,True,True,True,True,True,True,True
171,jad_occurrence__171,"[51, 51, 51, 51]","[1, 19, 19, 19]","['Lucas 19:42', 'Lucas 19:43', 'Lucas 19:44', 'Lucas 1:68']","[51, 51]","[1, 19]","['Lucas 19:43', 'Lucas 1:68']",False,False,False,True,True,True,True,True,False
172,jad_occurrence__172,"[12, 49]","[2, 21]","['2 Regum 2:23', 'Matthaeus 21:12']","[12, 49]","[2, 21]","['2 Regum 2:23', 'Matthaeus 21:12']",True,True,True,True,True,True,True,True,True
